#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
407.html|brennan-johnson|21|1.79|droit|Pays de Galles|Deuxième attaquant|Nottingham Forest|premier-league| 2026|20|20|0.00|0|0|18|2
391.html|benjamin-sesko|19|1.95|droit|Slovénie|Avant-centre|Red Bull Salzbourg|bundesliga| 2026|20|20|26.50 |0|0|17|5
145.html|mateo-kovacic|28|1.77|droit|Croatie|Milieu central|Chelsea FC|premier-league| 2024|40|45|94.00 |0|4|91|3
450.html|hakim-ziyech|29|1.81|gauche|Maroc|Ailier droit|Chelsea FC|premier-league| 2025|20|50|54.50 |0|1|50|19
283.html|pedro-porro|23|1.73|droit|Espagne|Arrière droit|Tottenham Hotspur|premier-league| 2023|25|25|25.60 |0|0|1|0
329.html|adrien-rabiot|27|1.88|gauche|France|Milieu central|Juventus Turin|serie-a| 2023|25|50|0.00|0|0|35|3
89.html|raphinha|26|1.76|gauche|Brésil|Ailier droit|FC Barcelone|laliga| 2027|50|50|104.70 |0|0|16|5
66.html|sergej-milinkovi%C4%87-savi%C4%87|27|1.91|droit|Serbie|Milieu central|Lazio Rome|serie-a| 2024|60|90|13.00 |0|0|39|7
217.html|aaron-ramsdale|24|1.90|droit|Angleterre|Gardien de but|FC Arsenal|premier-league| 2025|30|30|49.44 |0|0|3|0
352.html|wendel|25|1.80|droit|Brésil|Milieu central|Zenit St. Pétersbourg|premier-liga| 2027|22|22|27.80 |0|0|12|1
186.html|hakan-calhanoglu|29|1.78|droit|Turquie|Milieu central|Inter Milan|serie-a| 2024|35|35|41.05 |0|0|74|17
31.html|florian-wirtz|19|1.76|droit|Allemagne|Milieu offensif|Bayer 04 Leverkusen|bundesliga| 2027|70|70|0.200 |0|0|4|0
493.html|arthur-melo|26|1.72|droit|Brésil|Milieu central|FC Liverpool|premier-league| 2023|18|70|111.50 |0|0|22|1
169.html|ferran-torres|22|1.84|droit|Espagne|Ailier gauche|FC Barcelone|laliga| 2027|35|50|88.50 |0|0|35|15
240.html|john-stones|28|1.88|droit|Angleterre|Défenseur central|Manchester City|premier-league| 2026|30|60|59.10 |0|0|64|3
